Nom,Categorie,Nutriscore,Novascore,Ecoscore,Taux de sel (100g),Taux de matieres grasses (100g),Taux de matieres grasses saturees (100g),Taux de proteine (100g),Taux de sucre (100g),Energie (Kcal) (100g)
Gluten Free Quinoa Spirals,en:plant-based-foods-and-beverages,unknown,en:1-unprocessed-or-minimally-processed-foods,65,N/A,1.1249999701977,0,8.5000002384186,0,364.5000076294
Rigatoni 17,en:plant-based-foods-and-beverages,a,en:1-unprocessed-or-minimally-processed-foods,N/A,0.004,1.7,0.9,13,3.9,355
Fusilli 40,en:plant-based-foods-and-beverages,a,en:1-unprocessed-or-minimally-processed-foods,N/A,0.004,1.7,0.9,13,3.9,355
Langue d' oiseau semi complet,en:plant-based-foods-and-beverages,a,en:1-unprocessed-or-minimally-processed-foods,85,0,1.5,0.2,11.1,1.5,360
Bucatini 6,en:plant-based-foods-and-beverages,a,en:1-unprocessed-or-minimally-processed-foods,N/A,0.004,1.7,0.9,13,3.9,355
Fettuccine 12,en:plant-based-foods-and-beverages,a,en:1-unprocessed-or-minimally-processed-foods,N/A,0.004,1.7,0.9,12,3.9,355
Nouilles Instantanées : Bœuf,en:plant-based-foods-and-beverages,unknown,unknown,62,N/A,3.9,N/A,2.3,N/A,85
Nouilles Instantanées : Poulet,en:plant-based-foods-and-beverages,unknown,en:4-ultra-processed-food-and-drink-products,65,2.95,21.6,13.9,8.2,1.6,479
Conchiglioni 87b,en:plant-based-foods-and-beverages,a,en:1-unprocessed-or-minimally-processed-foods,N/A,0.004,1.7,0.9,13,3.9,355
Nouilles chinoises Special Chicken,en:aliments-d-origine-vegetale,d,unknown,N/A,2.9,3.8,1.7,2.3,0,100
mushroom & mascarpone tortelloni,en:plant-based-foods-and-beverages,b,en:4-ultra-processed-food-and-drink-products,62,0.75,7.9,2.6,6.6,1.3,221
BARILLA TAGLIATELLE 500g,en:plant-based-foods-and-beverages,a,en:1-unprocessed-or-minimally-processed-foods,60,0.01,2,0.5,13,3.5,359
Beef & tomato noodle,en:plant-based-foods-and-beverages,unknown,en:4-ultra-processed-food-and-drink-products,56,2,21,2.2,13,5.2,526
Original Curry,en:plant-based-foods-and-beverages,b,en:4-ultra-processed-food-and-drink-products,58,0.48,5.4,2.6,2.8,1.8,142
Tortellini  Ricotta Epinards aux oeufs frais,en:plant-based-foods-and-beverages,b,en:4-ultra-processed-food-and-drink-products,N/A,0.9,7,2.4,10,3.8,271
Pâtes risoni à l'encre de seiche,en:plant-based-foods-and-beverages,b,unknown,N/A,1.1,5.8,2,11,3.2,223
Senza zuccheri mini cake al gusto limone,en:snacks,b,en:4-ultra-processed-food-and-drink-products,N/A,0.42,21,1.8,5,0,372
Gâteau nantais au rhum et aux amandes,fr:gateaux-nantais,e,en:4-ultra-processed-food-and-drink-products,N/A,0.3,22.1,9.4,6.3,43.3,426.5
Gateau Basque,fr:gateaux-basques,unknown,en:4-ultra-processed-food-and-drink-products,N/A,N/A,19.29,N/A,4.56,31.97,270.65
Le Marbré Chocolat,en:snacks,d,en:4-ultra-processed-food-and-drink-products,46,0.15,22,2.9,5.7,26,432
Madeleines coeur fraise,en:snacks,d,en:4-ultra-processed-food-and-drink-products,60,0.80000001192093,19,1.7000000476837,4,29,409
Madeleine coeur chocolat,en:snacks,e,unknown,28,1,27,3.5,5.5,32,475
Le moelleux au fromage blanc,en:snacks,d,unknown,N/A,1,26,2.4,5,27,448
Tarte framboise fabuleuse,en:snacks,d,en:4-ultra-processed-food-and-drink-products,29,0.35,12,6.6,3.6,21,260
Quatre-quart breton maison,en:snacks,e,unknown,40,1,24,15,7,26,422
Blueberry Muffin,en:snacks,d,en:4-ultra-processed-food-and-drink-products,59,0.38,20,9.6,4.2,26,373
Madeleines vanille,en:snacks,d,en:4-ultra-processed-food-and-drink-products,94,0.275,27,4.7,3.8,24,460
Coeur fondant au chocolat noir BIO 2x90g,en:snacks,d,en:3-processed-foods,49,0.12,22,13,6.6,24,359
Madeleine longue,en:snacks,d,unknown,60,1.1,19,1.7,5.2,22,413
Madeleines extra moelleuse,en:snacks,e,unknown,42,1.1,25,4.3,5.6,28,449
Madeleines Extra Moelleuses,en:snacks,d,unknown,60,1.2,26,2.8,4.5,24.9,462
Madeleine cœur pomme poire,en:snacks,d,unknown,60,0.9,18,1.7,0,31,410
Mon brownie,en:snacks,e,unknown,24,0.75,28,8.1,5.2,33,446
Madeleines extra moelleuses Saveur Amande,fr:madeleines-ker-cadelac,d,unknown,65,0.7,29,2.5,5.8,26,478
Les P'tites Madeleines Nature,fr:madeleines-vracs,d,en:4-ultra-processed-food-and-drink-products,64,0.38,23,2,5.6,26,451
Fleur de Colza,en:plant-based-foods-and-beverages,c,en:2-processed-culinary-ingredients,65,0,100,7.1,0,0,900
Aceite de oliva virgen extra ecológico,en:plant-based-foods-and-beverages,b,en:2-processed-culinary-ingredients,47,0,99.3,14.9,0,0,896
Huile d’olive,en:plant-based-foods-and-beverages,c,en:2-processed-culinary-ingredients,27,0,91.6,13,0,0,824
Huile d'olive,en:plant-based-foods-and-beverages,unknown,en:2-processed-culinary-ingredients,27,N/A,91.6,13,0,0,824
Olio extra vergine di oliva,en:plant-based-foods-and-beverages,c,en:2-processed-culinary-ingredients,27,0,91.6,13,0,0,824
Huile dolive extra vierge,en:plant-based-foods-and-beverages,c,en:2-processed-culinary-ingredients,27,0,91.6,13,0,0,824
Huile d'olive de Provence AOC,fr:huile-d-olive-de-provence,c,en:2-processed-culinary-ingredients,36,0.02,100,17,0.5,0.5,900
Huile d'olive vierge extra Classico,en:plant-based-foods-and-beverages,c,en:2-processed-culinary-ingredients,40,0,91.3,6.3,0,0,822
Huile de graines de lin,en:plant-based-foods-and-beverages,d,en:2-processed-culinary-ingredients,44,0,100,11,0,0,900
Huile de cuisson tournesol désodorisée,en:plant-based-foods-and-beverages,d,en:2-processed-culinary-ingredients,N/A,0,100,12,0,0,900
Huile De Coco Desodorisee,en:plant-based-foods-and-beverages,e,en:2-processed-culinary-ingredients,N/A,0,91,84,0,0,819
Huile pour friture,en:plant-based-foods-and-beverages,c,en:2-processed-culinary-ingredients,65,0,100,9,0,0,900
N/A,en:plant-based-foods-and-beverages,c,en:2-processed-culinary-ingredients,27,0,91,13,0,0,823
Huile d’olive vierge extra ail,en:plant-based-foods-and-beverages,c,en:2-processed-culinary-ingredients,27,0,91.599998474121,13.89999961853,0,0,824
Huile d’olive vierge extra,en:plant-based-foods-and-beverages,c,en:2-processed-culinary-ingredients,27,0,91.6,12.8,0,0,810
Huile de noix,en:plant-based-foods-and-beverages,c,en:2-processed-culinary-ingredients,-1,0,100,10,0,0,900
Huile d'olive vierge extra,en:plant-based-foods-and-beverages,c,unknown,27,0,91.6,13,0,0,822
Olio extra vergine di oliva,en:plant-based-foods-and-beverages,c,en:2-processed-culinary-ingredients,27,0,100,15,0,0,900
Bratöl,en:plant-based-foods-and-beverages,c,unknown,64,0,92,7,0,0,828
Canola oil cooking spray,en:plant-based-foods-and-beverages,c,en:4-ultra-processed-food-and-drink-products,52,N/A,N/A,N/A,N/A,N/A,N/A
Huile vierge bio de Colza,en:plant-based-foods-and-beverages,unknown,en:2-processed-culinary-ingredients,72,N/A,N/A,6.4,0,0,885
Huile d olive piment,en:plant-based-foods-and-beverages,c,en:2-processed-culinary-ingredients,27,0,100,17,0,0,900
